[0. 0. 0.]
[  70.5706664  6827.98649553  293.70570516]
[  70.57365405 6886.39728507  288.63914979]
[  70.57146376 6929.21897658  292.35350587]
[  70.58021345 7100.28197404  277.51549124]
[  70.70201328 7222.62275228  267.12001499]
[  70.84573014 7443.12863568  249.44530476]
[  70.89707071 7465.05572853  247.83155844]
[  70.84034864 7489.28121364  249.61445724]
[  71.15215701 7622.45176014  239.81363774]
[  71.19226052 7628.73794488  239.38194814]
[  70.22614321 7745.40963418  232.18101404]
[  70.14257302 7757.8543054   231.42687989]
[  71.75442799 7997.88012862  245.97219558]
[  72.29626147 8149.81240954  254.84883876]
[  71.64218809 8333.21720913  244.13341375]
[  71.65539351 8349.23822502  243.2239305 ]
[  71.347412   8436.38476487  238.75433861]
[  71.09275875 8503.60254558  235.35698707]
[  69.9410254  8876.78660198  217.66365968]
[  69.8492593  9019.3372011   211.37302215]
[  69.85707651 9031.48055726  211.9088982 ]
[  69.93094654 9066.47440782  213.42897086]
[  69.93654615 9070.71316042  213.61044607]
[  69.96128187 9087.74244121  214.32531758]
[  69.91509011 9119.54310608  212.99035872]
[  69.9200497  9122.95753037  213.1336927 ]
[  69.81034067 9198.48659955  209.96306086]
[  69.84939881 9225.37613657  211.09185568]
[  69.15949999 9348.69321154  215.75909249]
